0xF306	ki
0xF0989	t.s.rA
0xF098C	t.s.rU
0xF43C	thi
0xF43F	the
0xF43E	thu
0xF440	tho
0xF43B	thA
0xF09AE	th.wA
0xF442	th.ri
0xF445	th.re
0xF444	th.ru
0xF446	th.ro
0xF448	di
0xF44B	de
0xF44A	du
0xF44C	do
0xF447	dA
0xF09B8	d.gi
0xF09BE	d.ge
0xF09BA	d.gu
0xF09C0	d.go
0xF09C7	d.g.ra
0xF09C9	d.g.ri
0xF09CD	d.g.re
0xF09CB	d.g.ru
0xF09CE	d.g.ro
0xF09C8	d.g.rA
0xF09CA	d.g.rI
0xF09CC	d.g.rU
0xF750	d.g.ha
0xF09D4	d.g.hi
0xF09DA	d.g.he
0xF09D6	d.g.hu
0xF09DC	d.g.ho
0xF751	d.g.hA
0xF09D5	d.g.hI
0xF09D7	d.g.hU
0xF09DE	d.g.h.ya
0xF09E0	d.g.h.yo
0xF09DF	d.g.h.yA
0xF753	d.da
0xF09EE	d.di
0xF09F4	d.de
0xF09F0	d.du
0xF09F6	d.do
0xF754	d.dA
0xF09EF	d.dI
0xF09F1	d.dU
0xF09FA	d.d.ya
0xF09FE	d.d.ye
0xF09FC	d.d.yu
0xF0A00	d.d.yo
0xF09FB	d.d.yA
0xF09FD	d.d.yU
0xF0A0F	d.d.wa
0xF0A11	d.d.wi
0xF0A13	d.d.we
0xF0A15	d.d.wo
0xF0A10	d.d.wA
0xF0A12	d.d.wI
0xF0A04	d.d.ra
0xF0A06	d.d.ri
0xF0A08	d.d.ru
0xF0A0A	d.d.ro
0xF0A05	d.d.rA
0xF0A07	d.d.rI
0xF0A09	d.d.rU
0xF755	d.d.ha
0xF757	d.d.hi
0xF75A	d.d.he
0xF759	d.d.hu
0xF75B	d.d.ho
0xF756	d.d.hA
0xF758	d.d.hI
0xF0A1D	d.d.hU
0xF75C	d.d.h.ya
0xF0A2B	d.d.h.yi
0xF0A2D	d.d.h.ye
0xF0A2C	d.d.h.yu
0xF0A2F	d.d.h.yo
0xF0A2A	d.d.h.yA
0xF762	d.ma
0xF764	d.mi
0xF766	d.me
0xF765	d.mu
0xF767	d.mo
0xF763	d.mA
0xF0AA3	d.mI
0xF0AA4	d.mU
0xF0AAD	d.m.ya
0xF0AAF	d.m.yi
0xF0AB1	d.m.ye
0xF0AAE	d.m.yA
0xF0AB0	d.m.yI
0xF0AB5	d.m.ra
0xF0AB7	d.m.ri
0xF0ABA	d.m.re
0xF0AB9	d.m.ru
0xF0ABC	d.m.ro
0xF0AB6	d.m.rA
0xF0AB8	d.m.rI
0xF454	d.wa
0xF455	d.wi
0xF458	d.we
0xF457	d.wu
0xF459	d.wo
0xF773	d.wA
0xF774	d.wI
0xF0AEC	d.wU
0xF0AC6	d.yi
0xF0AC8	d.yu
0xF0AC7	d.yI
0xF0AC9	d.yU
0xF44D	d.ra
0xF44E	d.ri
0xF451	d.re
0xF450	d.ru
0xF452	d.ro
0xF76C	d.rA
0xF76D	d.rI
0xF76E	d.rU
0xF0AD8	d.r.ya
0xF0ADA	d.r.yi
0xF0ADD	d.r.ye
0xF0ADB	d.r.yu
0xF0ADF	d.r.yo
0xF0AD9	d.r.yA
0xF0ADC	d.r.yU
0xF453	d.r.wa
0xF0AE3	d.r.wi
0xF0AE5	d.r.we
0xF0AE7	d.r.wo
0xF0AE2	d.r.wA
0xF0AE4	d.r.wI
0xF46D	d.hi
0xF470	d.he
0xF46F	d.hu
0xF471	d.ho
0xF46C	d.hA
0xF776	d.hI
0xF777	d.hU
0xF779	d.h.ya
0xF0B2B	d.h.yi
0xF77B	d.h.ye
0xF0B2D	d.h.yu
0xF0B30	d.h.yo
0xF77A	d.h.yA
0xF0B2C	d.h.yI
0xF0B2E	d.h.yU
0xF77D	d.h.wa
0xF0B44	d.h.wi
0xF0B47	d.h.we
0xF0B49	d.h.wo
0xF77E	d.h.wA
0xF0B45	d.h.wI
0xF0B34	d.h.ra
0xF0B36	d.h.ri
0xF0B39	d.h.re
0xF77C	d.h.ru
0xF0B3B	d.h.ro
0xF0B35	d.h.rA
0xF0B37	d.h.rI
0xF0B38	d.h.rU
0xF473	ni
0xF476	ne
0xF475	nu
0xF477	no
0xF472	nA
0xF780	nI
0xF783	nE
0xF781	nU
0xF785	nO
0xF78A	n.ta
0xF78C	n.ti
0xF790	n.te
0xF78E	n.tu
0xF0B7C	n.to
0xF78B	n.tA
0xF78D	n.tI
0xF78F	n.tU
0xF792	n.t.ra
0xF794	n.t.ri
0xF0B9B	n.t.re
0xF0B99	n.t.ru
0xF0B9D	n.t.ro
0xF793	n.t.rA
0xF0B98	n.t.rI
0xF0B9A	n.t.rU
0xF797	n.da
0xF798	n.di
0xF79A	n.de
0xF799	n.du
0xF0BD1	n.do
0xF0BCB	n.dA
0xF0BCC	n.dI
0xF0BCD	n.dU
0xF79B	n.d.ra
0xF79D	n.d.ri
0xF0BF1	n.d.re
0xF0BEF	n.d.ru
0xF0BF2	n.d.ro
0xF79C	n.d.rA
0xF79E	n.d.rI
0xF0BF0	n.d.rU
0xF79F	n.d.ha
0xF7A0	n.d.hi
0xF7A2	n.d.he
0xF7A1	n.d.hu
0xF7A3	n.d.ho
0xF0BFF	n.d.hA
0xF0C00	n.d.hI
0xF0C01	n.d.hU
0xF7A4	n.na
0xF7A6	n.ni
0xF7A8	n.ne
0xF7A7	n.nu
0xF0C27	n.no
0xF7A5	n.nA
0xF0C23	n.nI
0xF0C24	n.nU
0xF0C39	n.n.ra
0xF0C3A	n.n.ri
0xF7B8	n.wa
0xF0C8A	n.wi
0xF0C8F	n.we
0xF0C8C	n.wu
0xF0C91	n.wo
0xF7B9	n.wA
0xF0C8B	n.wI
0xF0C8D	n.wU
0xF7AF	n.ya
0xF0C77	n.ye
0xF0C74	n.yu
0xF7B1	n.yo
0xF7B0	n.yA
0xF0C75	n.yU
0xF7B4	n.ra
0xF0C7B	n.ri
0xF7B6	n.re
0xF0C7D	n.ru
0xF0C80	n.ro
0xF7B5	n.rA
0xF0C7C	n.rI
0xF0C7E	n.rU
0xF0CDB	n.ha
0xF0CE0	n.he
0xF0CDD	n.hu
0xF0CE1	n.ho
0xF0CDE	n.hU
0xF0CE3	n.h.rA
0xF0B76	n.Da
0xF0B77	n.Di
0xF48B	pi
0xF48E	pe
0xF48D	pu
0xF48F	po
0xF48A	pA
0xF7BA	pI
0xF7BC	pE
0xF7BB	pU
0xF7BE	pO
0xF7C3	p.ta
0xF7C5	p.ti
0xF7C6	p.te
0xF0D06	p.tu
0xF7C7	p.to
0xF7C4	p.tA
0xF0D05	p.tI
0xF0D07	p.tU
0xF7C8	p.da
0xF0D32	p.pa
0xF0D34	p.pi
0xF0D38	p.pe
0xF0D36	p.pu
0xF0D33	p.pA
0xF0D35	p.pI
0xF0D37	p.pU
0xF0D64	p.wa
0xF0D66	p.wi
0xF0D6A	p.we
0xF0D68	p.wu
0xF0D6B	p.wo
0xF0D65	p.wA
0xF0D67	p.wI
0xF0D69	p.wU
0xF490	p.ya
0xF491	p.yi
0xF494	p.ye
0xF493	p.yu
0xF495	p.yo
0xF0D4C	p.yA
0xF0D4D	p.yI
0xF0D4E	p.yU
0xF496	p.ra
0xF497	p.ri
0xF49A	p.re
0xF499	p.ru
0xF49B	p.ro
0xF7CA	p.rA
0xF7CB	p.rI
0xF7CC	p.rU
0xF4B5	phi
0xF4B8	phe
0xF4B7	phu
0xF4B9	pho
0xF4B4	phA
0xF7CF	phI
0xF7D0	phU
0xF7D1	phO
0xF0D9C	ph.wa
0xF0D9E	ph.wi
0xF0DA2	ph.we
0xF0DA0	ph.wu
0xF0DA3	ph.wo
0xF0D9D	ph.wA
0xF0D9F	ph.wI
0xF0DA1	ph.wU
0xF4BA	ph.ya
0xF4BB	ph.yi
0xF4BE	ph.ye
0xF4BD	ph.yu
0xF4BF	ph.yo
0xF7D5	ph.yA
0xF0D90	ph.yU
0xF4C1	ph.ra
0xF4C2	ph.ri
0xF4C5	ph.re
0xF4C4	ph.ru
0xF4C6	ph.ro
0xF0D95	ph.rA
0xF7D6	ph.rI
0xF0D96	ph.rU
0xF7D8	ph.r.wa
0xF4CE	bi
0xF4D1	be
0xF4D0	bu
0xF4D2	bo
0xF4CD	bA
0xF7D9	bI
0xF7DB	bE
0xF7DA	bU
0xF7DD	bO
0xF7E2	b.ta
0xF7E3	b.da
0xF0DD7	b.di
0xF0DDD	b.de
0xF0DD9	b.du
0xF0DDF	b.do
0xF0DD6	b.dA
0xF0DD8	b.dI
0xF0DDA	b.dU
0xF0E25	b.ma
0xF0E27	b.mi
0xF0E2B	b.me
0xF0E29	b.mu
0xF0E2D	b.mo
0xF0E26	b.mA
0xF0E28	b.mI
0xF0E2A	b.mU
0xF0E3F	b.wa
0xF0E41	b.wi
0xF0E45	b.we
0xF0E43	b.wu
0xF0E47	b.wo
0xF0E40	b.wA
0xF0E42	b.wI
0xF0E44	b.wU
0xF4D3	b.ya
0xF4D4	b.yi
0xF4D7	b.ye
0xF4D6	b.yu
0xF4D8	b.yo
0xF7E6	b.yA
0xF0E31	b.yI
0xF7E7	b.yU
0xF4D9	b.ra
0xF4DA	b.ri
0xF4DD	b.re
0xF4DC	b.ru
0xF4DE	b.ro
0xF7E8	b.rA
0xF7E9	b.rI
0xF7EA	b.rU
0xF4DF	b.la
0xF4E0	b.li
0xF4E3	b.le
0xF4E2	b.lu
0xF4E4	b.lo
0xF0E3B	b.lA
0xF0E3C	b.lI
0xF7F2	b.haM
0xF504	b.hi
0xF507	b.he
0xF506	b.hu
0xF508	b.ho
0xF503	b.hA
0xF7ED	b.hI
0xF7EE	b.hU
0xF7F3	b.h.ya
0xF0E61	b.h.yi
0xF7F5	b.h.ye
0xF0E63	b.h.yu
0xF7F7	b.h.yo
0xF7F4	b.h.yA
0xF0E62	b.h.yI
0xF0E64	b.h.yU
0xF7FA	b.h.ra
0xF7FC	b.h.ri
0xF0E68	b.h.re
0xF7FD	b.h.ru
0xF0E6A	b.h.ro
0xF7FB	b.h.rA
0xF0E66	b.h.rI
0xF0E67	b.h.rU
0xF50A	mi
0xF50D	me
0xF50C	mu
0xF50E	mo
0xF509	mA
0xF807	mI
0xF809	mE
0xF808	mU
0xF80B	mO
0xF815	m.ba
0xF816	m.bi
0xF0EB4	m.be
0xF817	m.bu
0xF818	m.bo
0xF0EAF	m.bA
0xF0EB0	m.bI
0xF0EB1	m.bU
0xF819	m.b.ha
0xF81A	m.b.hi
0xF81C	m.b.he
0xF81B	m.b.hu
0xF81D	m.b.ho
0xF0EC9	m.b.hA
0xF0ECA	m.b.hI
0xF0ECB	m.b.hU
0xF81F	m.ma
0xF821	m.mi
0xF0EDB	m.me
0xF0ED7	m.mu
0xF0EDD	m.mo
0xF820	m.mA
0xF0ED6	m.mI
0xF0ED8	m.mU
0xF825	m.wa
0xF0F0A	m.wi
0xF0F0E	m.we
0xF0F0C	m.wu
0xF0F10	m.wo
0xF0F09	m.wA
0xF0F0B	m.wI
0xF0F0D	m.wU
0xF50F	m.ya
0xF510	m.yi
0xF513	m.ye
0xF512	m.yu
0xF514	m.yo
0xF0EEF	m.yA
0xF0EF0	m.yI
0xF0EF1	m.yU
0xF515	m.ra
0xF516	m.ri
0xF519	m.re
0xF518	m.ru
0xF51A	m.ro
0xF823	m.rA
0xF0EF6	m.rI
0xF0EF7	m.rU
0xF53A	tsi
0xF53D	tse
0xF53C	tsu
0xF53E	tso
0xF539	tsA
0xF69E	tsI
0xF6A3	tsE
0xF6A0	tsU
0xF6A5	tsO
0xF6A8	ts.tsa
0xF0428	ts.tsi
0xF042B	ts.tse
0xF0429	ts.tsu
0xF042D	ts.tso
0xF6A9	ts.tsA
0xF042A	ts.tsU
0xF6AA	ts.tsha
0xF6AC	ts.tshi
0xF6AD	ts.tshe
0xF0434	ts.tshu
0xF0438	ts.tsho
0xF6AB	ts.tshA
0xF0433	ts.tshI
0xF0435	ts.tshU
0xF6B0	ts.wa
0xF0460	ts.wi
0xF0462	ts.we
0xF0461	ts.wu
0xF0463	ts.wo
0xF6B1	ts.wA
0xF046C	tshaM
0xF54D	tshi
0xF550	tshe
0xF54F	tshu
0xF551	tsho
0xF54C	tshA
0xF6B2	tshI
0xF6B3	tshU
0xF552	tsh.wa
0xF6B8	tsh.wo
0xF6B7	tsh.wA
0xF554	dzi
0xF557	dze
0xF556	dzu
0xF558	dzo
0xF553	dzA
0xF6B9	dzI
0xF6BC	dzE
0xF6BA	dzU
0xF6BE	dz.nya
0xF6C0	dz.nyi
0xF04B4	dz.nye
0xF04B3	dz.nyu
0xF6BF	dz.nyA
0xF6C1	dz.nyI
0xF6C9	dz.wa
0xF04EB	dz.wi
0xF04EC	dz.we
0xF04ED	dz.wo
0xF04EA	dz.wA
0xF6CA	dz.wI
0xF6C3	dz.ya
0xF04D2	dz.yi
0xF04D6	dz.ye
0xF04D4	dz.yu
0xF6C4	dz.yo
0xF04D1	dz.yA
0xF04D3	dz.yI
0xF04D5	dz.yU
0xF6C5	dz.ra
0xF6C7	dz.ri
0xF6C8	dz.re
0xF04DC	dz.ru
0xF04DE	dz.ro
0xF6C6	dz.rA
0xF04DB	dz.rI
0xF04DD	dz.rU
0xF560	dz.hi
0xF563	dz.he
0xF562	dz.hu
0xF564	dz.ho
0xF55F	dz.hA
0xF04F1	dz.hI
0xF04F2	dz.hU
0xF566	wi
0xF569	we
0xF568	wu
0xF56A	wo
0xF565	wA
0xF886	wI
0xF12BD	wU
0xF12F2	w.wa
0xF12F4	w.wi
0xF12F6	w.we
0xF12F8	w.wo
0xF12F3	w.wA
0xF12F5	w.wI
0xF56D	zhi
0xF571	zhe
0xF570	zhu
0xF572	zho
0xF56C	zhA
0xF56E	zhI
0xF576	zh.wa
0xF574	zh.re
0xF57E	zi
0xF581	ze
0xF580	zu
0xF582	zo
0xF57D	zA
0xF58B	z.wa
0xF58D	z.we
0xF58C	z.wu
0xF58E	z.wo
0xF585	z.la
0xF586	z.li
0xF589	z.le
0xF588	z.lu
0xF58A	z.lo
0xF599	achungM
0xF591	a.chungi
0xF596	a.chunge
0xF594	a.chungu
0xF597	a.chungo
0xF598	a.chungO
0xF5A4	yi
0xF5A7	ye
0xF5A6	yu
0xF5A8	yo
0xF5A3	yA
0xF827	yI
0xF828	yU
0xF829	yO
0xF5AA	ri
0xF5AC	re
0xF5AB	ru
0xF5AD	ro
0xF5A9	rA
0xF834	rI
0xF835	rU
0xF837	rO
0xF31E	r.ka
0xF31F	r.ki
0xF322	r.ke
0xF321	r.ku
0xF323	r.ko
0xF0F56	r.kA
0xF0F57	r.kI
0xF0F58	r.kU
0xF0F74	r.k.wa
0xF324	r.k.ya
0xF325	r.k.yi
0xF328	r.k.ye
0xF327	r.k.yu
0xF329	r.k.yo
0xF0F6A	r.k.ra
0xF0F6C	r.k.ri
0xF0F70	r.k.re
0xF0F6E	r.k.ru
0xF0F71	r.k.ro
0xF0F6B	r.k.rA
0xF0F6D	r.k.rI
0xF0F6F	r.k.rU
0xF374	r.ga
0xF375	r.gi
0xF378	r.ge
0xF377	r.gu
0xF379	r.go
0xF0F92	r.gA
0xF0F93	r.gI
0xF0F94	r.gU
0xF37A	r.g.ya
0xF37B	r.g.yi
0xF37E	r.g.ye
0xF37D	r.g.yu
0xF37F	r.g.yo
0xF0FA3	r.g.yI
0xF0FA5	r.g.ra
0xF0FA7	r.g.ri
0xF0FA9	r.g.re
0xF0FA6	r.g.rA
0xF0FA8	r.g.rI
0xF83A	r.g.ha
0xF0FB0	r.g.hi
0xF0FB5	r.g.he
0xF0FB2	r.g.hu
0xF0FB7	r.g.ho
0xF0FAF	r.g.hA
0xF0FB1	r.g.hI
0xF0FB3	r.g.hU
0xF3A4	r.nga
0xF3A5	r.ngi
0xF3A8	r.nge
0xF3A7	r.ngu
0xF3A9	r.ngo
0xF84E	r.ng.ha
0xF84F	r.ng.hi
0xF3E0	r.ja
0xF3E1	r.ji
0xF3E4	r.je
0xF3E3	r.ju
0xF3E5	r.jo
0xF3F3	r.nya
0xF3F4	r.nyi
0xF3F7	r.nye
0xF3F6	r.nyu
0xF3F8	r.nyo
0xF429	r.ta
0xF42A	r.ti
0xF42D	r.te
0xF42C	r.tu
0xF42E	r.to
0xF844	r.tA
0xF845	r.tI
0xF1039	r.tU
0xF106F	r.t.wa
0xF1071	r.t.wi
0xF1073	r.t.we
0xF1070	r.t.wA
0xF1072	r.t.wI
0xF105B	r.t.ya
0xF105F	r.t.ye
0xF105D	r.t.yu
0xF1060	r.t.yo
0xF105C	r.t.yA
0xF105E	r.t.yU
0xF1063	r.t.ra
0xF1065	r.t.ri
0xF1069	r.t.re
0xF1067	r.t.ru
0xF106B	r.t.ro
0xF1064	r.t.rA
0xF1066	r.t.rI
0xF1068	r.t.rU
0xF45A	r.da
0xF45B	r.di
0xF45E	r.de
0xF45D	r.du
0xF45F	r.do
0xF84B	r.dA
0xF108D	r.dI
0xF108E	r.dU
0xF10BC	r.d.wa
0xF10BE	r.d.wi
0xF10C0	r.d.we
0xF10C2	r.d.wo
0xF10BD	r.d.wA
0xF10BF	r.d.wI
0xF10AE	r.d.ya
0xF10B2	r.d.ye
0xF10B0	r.d.yu
0xF10B4	r.d.yo
0xF10AF	r.d.yA
0xF10B1	r.d.yU
0xF10B6	r.d.ra
0xF84D	r.d.ri
0xF10B7	r.d.ru
0xF10B9	r.d.ro
0xF84C	r.d.rA
0xF10B8	r.d.rU
0xF10CC	r.d.he
0xF10C8	r.d.hu
0xF10CE	r.d.ho
0xF10C6	r.d.hA
0xF10C7	r.d.hI
0xF10C9	r.d.hU
0xF478	r.na
0xF479	r.ni
0xF47C	r.ne
0xF47B	r.nu
0xF47D	r.no
0xF10EB	r.nA
0xF10EC	r.nI
0xF10ED	r.nU
0xF10F4	r.n.ya
0xF4E5	r.ba
0xF4E6	r.bi
0xF4E9	r.be
0xF4E8	r.bu
0xF4EA	r.bo
0xF851	r.bA
0xF110F	r.bI
0xF1110	r.bU
0xF1122	r.b.ya
0xF1127	r.b.ye
0xF1125	r.b.yu
0xF1129	r.b.yo
0xF1123	r.b.yA
0xF1126	r.b.yU
0xF112B	r.b.ra
0xF112D	r.b.ri
0xF1131	r.b.re
0xF112F	r.b.ru
0xF1133	r.b.ro
0xF112C	r.b.rA
0xF112E	r.b.rI
0xF1130	r.b.rU
0xF855	r.b.ha
0xF856	r.b.hi
0xF857	r.b.he
0xF113D	r.b.hu
0xF1141	r.b.ho
0xF113B	r.b.hA
0xF113C	r.b.hI
0xF113E	r.b.hU
0xF51B	r.ma
0xF51C	r.mi
0xF51F	r.me
0xF51E	r.mu
0xF520	r.mo
0xF858	r.mA
0xF115A	r.mI
0xF115B	r.mU
0xF521	r.m.ya
0xF522	r.m.yi
0xF525	r.m.ye
0xF524	r.m.yu
0xF526	r.m.yo
0xF116C	r.m.yA
0xF116D	r.m.yI
0xF116E	r.m.yU
0xF1173	r.m.ra
0xF1174	r.m.ri
0xF53F	r.tsa
0xF540	r.tsi
0xF543	r.tse
0xF542	r.tsu
0xF544	r.tso
0xF0FC5	r.tsA
0xF0FC6	r.tsI
0xF0FC7	r.tsU
0xF545	r.ts.wa
0xF0FE1	r.tsha
0xF0FE3	r.tshi
0xF0FE4	r.tshu
0xF0FE2	r.tshA
0xF559	r.dza
0xF55A	r.dzi
0xF55D	r.dze
0xF55C	r.dzu
0xF55E	r.dzo
0xF0FE6	r.dzA
0xF0FE7	r.dzI
0xF0FE8	r.dzU
0xF0FF5	r.dz.nya
0xF0FF6	r.dz.nyi
0xF0FF8	r.dz.nye
0xF83E	r.dz.nyA
0xF0FF7	r.dz.nyI
0xF1008	r.dz.wa
0xF100A	r.dz.wi
0xF1009	r.dz.wA
0xF0FF9	r.dz.ya
0xF0FFB	r.dz.ye
0xF0FFD	r.dz.yo
0xF0FFA	r.dz.yA
0xF1001	r.dz.ra
0xF1003	r.dz.ri
0xF1005	r.dz.re
0xF1004	r.dz.ru
0xF1006	r.dz.ro
0xF1002	r.dz.rA
0xF100C	r.dz.ha
0xF100E	r.dz.hi
0xF1010	r.dz.he
0xF100F	r.dz.hu
0xF1011	r.dz.ho
0xF100D	r.dz.hA
0xF5B4	r.wa
0xF862	r.wi
0xF11A5	r.we
0xF11A2	r.wu
0xF863	r.wo
0xF11A0	r.wA
